PREC	JANT	JULT	OVR65	POPN	EDUC	HOUS	DENS	NONW	WWDRK	POOR	HC	NOX	SO2	HUMID	target
33.0	26.0	76.0	8.600000381469727	3.200000047683716	10.899999618530273	83.4000015258789	6122.0	16.299999237060547	44.900001525878906	10.699999809265137	88.0	63.0	278.0	58.0	1024.885009765625
40.0	34.0	77.0	9.199999809265137	3.2100000381469727	10.199999809265137	77.0	4101.0	13.0	45.70000076293945	15.100000381469727	26.0	26.0	146.0	57.0	970.4669799804688
35.0	28.0	71.0	8.800000190734863	3.2899999618530273	11.100000381469727	86.30000305175781	3042.0	14.699999809265137	44.599998474121094	11.399999618530273	31.0	21.0	64.0	60.0	985.9500122070312
37.0	31.0	75.0	8.0	3.259999990463257	11.899999618530273	78.4000015258789	4259.0	13.100000381469727	49.599998474121094	13.899999618530273	23.0	9.0	15.0	58.0	958.8389892578125
35.0	46.0	85.0	7.099999904632568	3.2200000286102295	11.800000190734863	79.9000015258789	1441.0	14.800000190734863	51.20000076293945	16.100000381469727	1.0	1.0	1.0	54.0	860.1010131835938
36.0	30.0	75.0	7.5	3.3499999046325684	11.399999618530273	81.9000015258789	4029.0	12.399999618530273	44.0	12.0	6.0	4.0	16.0	58.0	936.2340087890625
15.0	30.0	73.0	8.199999809265137	3.1500000953674316	12.199999809265137	84.19999694824219	4824.0	4.699999809265137	53.099998474121094	12.699999809265137	17.0	8.0	28.0	38.0	871.7659912109375
31.0	27.0	74.0	7.199999809265137	3.440000057220459	10.800000190734863	87.0	4834.0	15.800000190734863	43.5	13.600000381469727	52.0	35.0	124.0	59.0	959.2210083007812
30.0	24.0	72.0	6.5	3.5299999713897705	10.800000190734863	79.5	3694.0	13.100000381469727	33.79999923706055	12.399999618530273	11.0	4.0	11.0	61.0	941.1810302734375
31.0	45.0	85.0	7.300000190734863	3.2200000286102295	11.399999618530273	80.69999694824219	1844.0	11.5	48.099998474121094	18.5	1.0	1.0	1.0	53.0	891.7080078125
31.0	24.0	72.0	9.0	3.369999885559082	10.899999618530273	82.80000305175781	3226.0	5.099999904632568	45.20000076293945	12.300000190734863	5.0	3.0	10.0	61.0	871.3380126953125
42.0	40.0	77.0	6.099999904632568	3.450000047683716	10.399999618530273	71.80000305175781	2269.0	22.700000762939453	41.400001525878906	19.5	8.0	3.0	5.0	53.0	971.1220092773438
43.0	27.0	72.0	9.0	3.25	11.5	87.0999984741211	2909.0	7.199999809265137	51.599998474121094	9.5	7.0	3.0	10.0	56.0	887.4660034179688
46.0	55.0	84.0	5.599999904632568	3.3499999046325684	11.399999618530273	79.69999694824219	2647.0	21.0	46.900001525878906	17.899999618530273	6.0	5.0	1.0	59.0	952.5289916992188
39.0	29.0	75.0	8.699999809265137	3.2300000190734863	11.399999618530273	78.5999984741211	4412.0	15.600000381469727	46.599998474121094	13.199999809265137	13.0	7.0	33.0	60.0	968.6649780273438
35.0	31.0	81.0	9.199999809265137	3.0999999046325684	12.0	78.30000305175781	3262.0	12.600000381469727	48.599998474121094	13.899999618530273	7.0	4.0	4.0	55.0	919.72900390625
43.0	32.0	74.0	10.100000381469727	3.380000114440918	9.5	79.19999694824219	3214.0	2.9000000953674316	43.70000076293945	12.0	11.0	7.0	32.0	54.0	844.052978515625
11.0	53.0	68.0	9.199999809265137	2.990000009536743	12.100000381469727	90.5999984741211	4700.0	7.800000190734863	48.900001525878906	12.300000190734863	648.0	319.0	130.0	47.0	861.8330078125
30.0	35.0	71.0	8.300000190734863	3.369999885559082	9.899999618530273	77.4000015258789	4474.0	13.100000381469727	42.599998474121094	17.700000762939453	38.0	37.0	193.0	57.0	989.2650146484375
50.0	42.0	82.0	7.300000190734863	3.490000009536743	10.399999618530273	72.5	3497.0	36.70000076293945	43.29999923706055	26.399999618530273	15.0	18.0	34.0	59.0	1006.489990234375
60.0	67.0	82.0	10.0	2.9800000190734863	11.5	88.5999984741211	4657.0	13.5	47.29999923706055	22.399999618530273	3.0	1.0	1.0	60.0	861.4390258789062
30.0	20.0	69.0	8.800000190734863	3.259999990463257	11.100000381469727	85.4000015258789	2934.0	5.800000190734863	44.0	9.399999618530273	33.0	23.0	125.0	64.0	929.1500244140625
25.0	12.0	73.0	9.199999809265137	3.2799999713897705	12.100000381469727	83.0999984741211	2095.0	2.0	51.900001525878906	9.800000190734863	20.0	11.0	26.0	58.0	857.6220092773438
45.0	40.0	80.0	8.300000190734863	3.319999933242798	10.100000381469727	70.30000305175781	2682.0	21.0	46.099998474121094	24.100000381469727	17.0	14.0	78.0	56.0	961.0089721679688
46.0	30.0	72.0	10.199999809265137	3.1600000858306885	11.300000190734863	83.19999694824219	3327.0	8.800000190734863	45.29999923706055	12.199999809265137	4.0	3.0	8.0	58.0	923.2340087890625
54.0	54.0	81.0	7.400000095367432	3.359999895095825	9.699999809265137	72.80000305175781	3172.0	31.399999618530273	45.5	24.200000762939453	20.0	17.0	1.0	62.0	1113.156005859375
42.0	33.0	77.0	9.699999809265137	3.0299999713897705	10.699999809265137	83.5	7462.0	11.300000190734863	48.70000076293945	12.399999618530273	41.0	26.0	108.0	58.0	994.6480102539062
42.0	32.0	76.0	9.100000381469727	3.319999933242798	10.5	87.5	6092.0	17.5	45.29999923706055	13.199999809265137	29.0	32.0	161.0	54.0	1015.0230102539062
36.0	29.0	72.0	9.5	3.319999933242798	10.600000381469727	77.5999984741211	3437.0	8.100000381469727	45.5	13.800000190734863	45.0	59.0	263.0	56.0	991.2899780273438
37.0	38.0	67.0	11.300000190734863	2.990000009536743	12.0	81.5	3387.0	3.5999999046325684	50.29999923706055	13.5	56.0	21.0	44.0	73.0	893.9910278320312
42.0	29.0	72.0	10.699999809265137	3.190000057220459	10.100000381469727	79.5	3508.0	2.200000047683716	38.79999923706055	15.699999809265137	6.0	4.0	18.0	56.0	938.5
41.0	33.0	77.0	11.199999809265137	3.0799999237060547	9.600000381469727	79.9000015258789	4843.0	2.700000047683716	38.599998474121094	14.100000381469727	11.0	11.0	89.0	54.0	946.1849975585938
44.0	39.0	78.0	8.199999809265137	3.319999933242798	11.0	79.9000015258789	3768.0	28.600000381469727	49.5	17.5	12.0	9.0	48.0	53.0	1025.501953125
32.0	25.0	72.0	10.899999618530273	3.2100000381469727	11.100000381469727	82.5	4355.0	5.0	46.400001525878906	10.800000190734863	7.0	4.0	18.0	60.0	874.281005859375
34.0	32.0	79.0	9.300000190734863	3.2300000190734863	9.699999809265137	76.80000305175781	5160.0	17.200000762939453	45.099998474121094	15.300000190734863	31.0	15.0	68.0	57.0	953.5599975585938
10.0	55.0	70.0	7.300000190734863	3.109999895095825	12.100000381469727	88.9000015258789	3033.0	5.900000095367432	51.0	14.0	144.0	66.0	20.0	61.0	839.708984375
18.0	48.0	63.0	9.199999809265137	2.9200000762939453	12.199999809265137	87.69999694824219	4253.0	13.699999809265137	51.20000076293945	12.0	311.0	171.0	86.0	71.0	911.7009887695312
13.0	49.0	68.0	7.0	3.359999895095825	12.199999809265137	90.69999694824219	2702.0	3.0	51.900001525878906	9.699999809265137	105.0	32.0	3.0	71.0	790.7329711914062
35.0	40.0	64.0	9.600000381469727	3.0199999809265137	12.199999809265137	82.5	3626.0	5.699999809265137	54.29999923706055	10.100000381469727	20.0	7.0	20.0	72.0	899.2639770507812
45.0	28.0	74.0	10.600000381469727	3.2100000381469727	11.100000381469727	82.5999984741211	1883.0	3.4000000953674316	41.900001525878906	12.300000190734863	5.0	4.0	20.0	56.0	904.155029296875
38.0	24.0	72.0	9.800000190734863	3.3399999141693115	11.399999618530273	78.0	4923.0	3.799999952316284	50.5	11.100000381469727	8.0	5.0	25.0	61.0	950.6719970703125
31.0	26.0	73.0	9.300000190734863	3.2200000286102295	10.699999809265137	81.30000305175781	3249.0	9.5	43.900001525878906	13.600000381469727	11.0	7.0	25.0	59.0	972.4639892578125
40.0	23.0	71.0	11.300000190734863	3.2799999713897705	10.300000190734863	73.80000305175781	1671.0	2.5	47.400001525878906	13.5	5.0	2.0	11.0	60.0	912.2020263671875
41.0	37.0	78.0	6.199999809265137	3.25	12.300000190734863	89.5	5308.0	25.899999618530273	59.70000076293945	10.300000190734863	65.0	28.0	102.0	52.0	967.802978515625
28.0	32.0	81.0	7.0	3.2699999809265137	12.100000381469727	81.0	3665.0	7.5	51.599998474121094	13.199999809265137	4.0	2.0	1.0	54.0	823.7639770507812
45.0	33.0	76.0	7.699999809265137	3.390000104904175	11.300000190734863	82.19999694824219	3152.0	12.100000381469727	47.29999923706055	10.899999618530273	14.0	11.0	42.0	56.0	1003.5020141601562
45.0	24.0	70.0	11.800000190734863	3.25	11.100000381469727	79.80000305175781	3678.0	1.0	44.79999923706055	14.0	7.0	3.0	8.0	56.0	895.6959838867188
42.0	33.0	76.0	9.699999809265137	3.2200000286102295	9.0	76.19999694824219	9699.0	4.800000190734863	42.20000076293945	14.5	8.0	8.0	49.0	54.0	911.8170166015625
38.0	28.0	72.0	8.899999618530273	3.4800000190734863	10.699999809265137	79.80000305175781	3451.0	11.699999809265137	37.5	13.0	14.0	13.0	39.0	58.0	954.4420166015625
