@relation bach_choral_harmony
@attribute eventNumber numeric
@attribute pitch3 {' NO','YES'}
@attribute pitch4 {' NO','YES'}
@attribute pitch5 {' NO','YES'}
@attribute pitch6 {' NO','YES'}
@attribute pitch7 {' NO','YES'}
@attribute pitch8 {' NO','YES'}
@attribute pitch9 {' NO','YES'}
@attribute pitch10 {' NO','YES'}
@attribute pitch11 {' NO','YES'}
@attribute pitch12 {' NO','YES'}
@attribute pitch13 {' NO','YES'}
@attribute pitch14 {' NO','YES'}
@attribute bass {'A','A#','Ab','B','Bb','C','C#','D','D#','Db','E','Eb','F','F#','G','G#'}
@attribute meter numeric
@attribute class {' A#d',' A#d7',' A_d',' A_m',' A_M',' A_m4',' A_M4',' A_m6',' A_M6',' A_m7',' A_M7',' Abd',' Abm',' AbM',' B_d',' B_d7',' B_m',' B_M',' B_M4',' B_m6',' B_m7',' B_M7',' Bbd',' Bbm',' BbM',' Bbm6',' BbM7',' C#d',' C#d6',' C#d7',' C#m',' C#M',' C#M4',' C#m7',' C#M7',' C_d6',' C_d7',' C_m',' C_M',' C_M4',' C_m6',' C_M6',' C_m7',' C_M7',' D#d',' D#d6',' D#d7',' D#m',' D#M',' D_d7',' D_m',' D_M',' D_M4',' D_m6',' D_M6',' D_m7',' D_M7',' Dbd',' Dbd7',' Dbm',' DbM',' Dbm7',' DbM7',' E_d',' E_m',' E_M',' E_M4',' E_m6',' E_m7',' E_M7',' Ebd',' EbM',' EbM7',' F#d',' F#d7',' F#m',' F#M',' F#M4',' F#m6',' F#m7',' F#M7',' F_d',' F_d7',' F_m',' F_M',' F_M4',' F_m6',' F_M6',' F_m7',' F_M7',' G#d',' G#d7',' G#m',' G#M',' G_d',' G_m',' G_M',' G_M4',' G_m6',' G_M6',' G_m7',' G_M7'}
@data
16,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',4,' F_M'
17,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',3,' F_M'
18,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','Bb',5,' BbM'
19,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO','Bb',2,' BbM'
20,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES','YES',' NO','Bb',1,' BbM'
21,' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','YES','YES',' NO','A',3,' C_M7'
22,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','G',2,' C_M7'
23,' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','G',1,' C_M7'
24,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',4,' F_M'
25,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO','YES','B',2,' F_M'
26,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',3,' C_M'
27,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M'
28,'YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',5,' D_m7'
29,' NO',' NO','YES',' NO','YES','YES',' NO',' NO',' NO','YES',' NO','YES','F',2,' D_m7'
30,' NO',' NO','YES',' NO','YES','YES',' NO',' NO',' NO','YES',' NO',' NO','F',1,' D_m7'
31,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','G',3,' G_M'
32,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',4,' C_M'
33,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',3,' F_M'
34,' NO',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',2,' F_M'
35,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','Bb',5,' BbM'
36,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO','Bb',2,' BbM'
37,'YES',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','C',3,' A_m'
38,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','C',2,' A_m'
39,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES','YES',' NO','D',4,' C_M7'
40,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','E',2,' C_M7'
41,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',3,' F_M'
42,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',2,' F_M'
43,'YES',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO',' NO','C',5,' C_M4'
44,'YES',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO','YES',' NO',' NO','C',2,' C_M4'
45,'YES',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO','YES',' NO',' NO','C',1,' C_M4'
46,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','C',3,' C_M7'
47,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','C',2,' C_M7'
48,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','C',1,' C_M7'
49,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',4,' F_M'
50,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',3,' F_M'
51,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','E',5,' C_M'
52,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','E',2,' C_M'
53,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',3,' F_M'
54,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',2,' F_M'
55,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','D',4,' D_m'
56,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','D',2,' D_m'
57,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',3,' F_M'
58,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',2,' F_M'
59,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','Bb',5,' BbM'
60,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','Bb',1,' BbM'
61,'YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES','YES',' NO','C',2,' BbM'
62,'YES',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO','C',1,' BbM'
63,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','D',3,' BbM'
64,' NO',' NO','YES',' NO','YES','YES',' NO','YES',' NO',' NO','YES',' NO','E',2,' BbM'
65,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',4,' F_M'
66,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',3,' F_M'
67,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','Bb',5,' BbM'
68,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO','Bb',2,' BbM'
69,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES','YES',' NO','Bb',1,' BbM'
70,' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','YES','YES',' NO','A',3,' C_M7'
71,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','G',2,' C_M7'
72,' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','G',1,' C_M7'
73,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',4,' F_M'
74,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO','YES','B',2,' F_M'
75,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',3,' C_M'
76,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M'
77,'YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',5,' D_m7'
78,' NO',' NO','YES',' NO','YES','YES',' NO',' NO',' NO','YES',' NO','YES','F',2,' D_m7'
79,' NO',' NO','YES',' NO','YES','YES',' NO',' NO',' NO','YES',' NO',' NO','F',1,' D_m7'
80,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','G',3,' G_M'
81,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',4,' C_M'
82,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',3,' F_M'
83,' NO',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',2,' F_M'
84,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','Bb',5,' BbM'
85,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO','Bb',2,' BbM'
86,'YES',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','C',3,' A_m'
87,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','C',2,' A_m'
88,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES','YES',' NO','D',4,' C_M7'
89,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','E',2,' C_M7'
90,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',3,' F_M'
91,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',2,' F_M'
92,'YES',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO',' NO','C',5,' C_M4'
93,'YES',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO','YES',' NO',' NO','C',2,' C_M4'
94,'YES',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO','YES',' NO',' NO','C',1,' C_M4'
95,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','C',3,' C_M7'
96,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','C',2,' C_M7'
97,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','C',1,' C_M7'
98,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',4,' F_M'
99,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','E',5,' C_M'
100,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','E',2,' C_M'
101,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','E',1,' C_M'
102,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','E',3,' C_M'
103,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','E',1,' C_M'
104,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','E',2,' C_M'
105,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','E',1,' C_M'
106,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',4,' F_M'
107,'YES',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO',' NO','C',5,' C_M4'
108,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO',' NO',' NO','C',1,' C_M4'
109,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M4'
110,'YES',' NO','YES',' NO',' NO',' NO',' NO',' NO',' NO','YES',' NO',' NO','C',1,' C_M4'
111,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',3,' C_M'
112,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',4,' F_M'
113,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',5,' F_M'
114,'YES',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO','YES',' NO',' NO','G',2,' F_M'
115,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',3,' F_M'
116,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',2,' F_M'
117,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',4,' C_M'
118,'YES',' NO','YES',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','D',2,' C_M'
119,'YES',' NO','YES',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','D',1,' C_M'
120,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','E',3,' C_M7'
121,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M7'
122,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','C',1,' C_M7'
123,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',5,' F_M'
124,'YES',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO','YES',' NO',' NO','G',2,' F_M'
125,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',3,' F_M'
126,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',2,' F_M'
127,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',4,' C_M'
128,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M'
129,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES','YES',' NO','Bb',3,' F_M'
130,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','A',2,' F_M'
131,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','C',5,' G_m'
132,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO','C',2,' G_m'
133,' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','C',1,' G_m'
134,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','D',3,' D_m'
135,'YES',' NO','YES',' NO','YES','YES',' NO',' NO',' NO','YES',' NO',' NO','C',2,' D_m'
136,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO','Bb',4,' G_m'
137,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','YES',' NO','Bb',2,' G_m'
138,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',3,' C_M'
139,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M'
140,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',1,' C_M'
141,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',5,' F_M'
142,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','D',4,' D_m'
143,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO','YES',' NO',' NO','D',1,' D_m'
144,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',2,' D_m'
145,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES','YES',' NO','F',1,' D_m'
146,'YES',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','A',3,' A_m'
147,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','A',2,' A_m'
148,'YES',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','Bb',5,' BbM'
149,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','D',2,' BbM'
150,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','F',3,' F_M'
151,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',2,' F_M'
152,' NO',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO','YES','YES',' NO','G',4,' C_M7'
153,' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','G',2,' C_M7'
154,'YES',' NO',' NO',' NO',' NO',' NO',' NO','YES',' NO','YES',' NO',' NO','A',3,' F_M'
155,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','D',2,' F_M'
156,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO','YES','B',5,' G_M7'
157,' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO',' NO','YES','B',2,' G_M7'
158,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',3,' C_M'
159,'YES',' NO',' NO',' NO','YES','YES',' NO','YES',' NO',' NO',' NO',' NO','C',1,' C_M'
160,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',2,' C_M'
161,'YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','C',1,' C_M'
162,'YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',4,' F_M'
1,' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','D',3,' D_M'
2,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','G',5,' G_m'
3,'YES',' NO',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','A',3,' F#d'
4,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','Bb',4,' G_m'
5,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','YES','YES',' NO','A',3,' G_m'
6,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','G',2,' G_m'
7,' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','F#',5,' D_M'
8,'YES',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','F#',2,' D_M'
9,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','G',3,' G_m'
10,' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','D',4,' D_M'
11,'YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','C',3,' AbM'
12,' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','C#',5,' C#d7'
13,' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','D',3,' D_M'
14,'YES',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','D',2,' D_M'
15,' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','E',4,' C#d7'
16,'YES',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','F#',3,' D_M7'
17,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','G',5,' G_m'
18,' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','D',3,' D_M'
19,' NO',' NO','YES',' NO',' NO',' NO',' NO',' NO',' NO','YES',' NO',' NO','D',1,' D_M'
20,'YES',' NO','YES',' NO',' NO',' NO',' NO',' NO',' NO','YES',' NO',' NO','D',2,' D_M'
21,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','G',4,' G_m'
22,' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','D',3,' D_M'
23,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','G',5,' G_m'
24,'YES',' NO',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','A',3,' F#d'
25,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','Bb',4,' G_m'
26,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO','YES','YES',' NO','A',3,' G_m'
27,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','G',2,' G_m'
28,' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','F#',5,' D_M'
29,'YES',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','F#',2,' D_M'
30,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','G',3,' G_m'
31,' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','D',4,' D_M'
32,'YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO',' NO','C',3,' AbM'
33,' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','C#',5,' C#d7'
34,' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','D',3,' D_M'
35,'YES',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','D',2,' D_M'
36,' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','E',4,' C#d7'
37,'YES',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','F#',3,' D_M7'
38,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','G',5,' G_m'
39,' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO',' NO','D',3,' D_M'
40,' NO',' NO','YES',' NO',' NO',' NO',' NO',' NO',' NO','YES',' NO',' NO','D',1,' D_M'
41,'YES',' NO','YES',' NO',' NO',' NO',' NO',' NO',' NO','YES',' NO',' NO','D',2,' D_M'
42,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','G',4,' G_m'
43,' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','YES',' NO','G',3,' G_m'
44,' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','C#',5,' A_M'
45,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','D',3,' D_m'
46,' NO','YES',' NO',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','A',4,' A_M'
47,' NO','YES',' NO',' NO','YES',' NO',' NO','YES',' NO','YES',' NO',' NO','G',2,' A_M'
48,' NO',' NO','YES',' NO',' NO','YES',' NO',' NO',' NO','YES',' NO',' NO','F',3,' D_m'
49,' NO',' NO','YES',' NO','YES',' NO',' NO',' NO',' NO','YES',' NO',' NO','E',2,' D_m'
